# Values from mcmc blackbody fits to eruption data 
# MJD : Modified Julian Date
# Tstar : Effective temperature of the star [K]
# Tstar_min : Lower limit of the effective temperature [K]
# Tstar_max : Upper limit of the effective temperature [K]
# L : Luminosity of the star [erg/s]
# L_min : Lower limit of the luminosity [erg/s]
# L_max : Upper limit of the luminosity [erg/s]
# r : Stellar photospheric radius [cm]
# r_min : Lower limit of the stellar photospheric radius [cm]
# r_max : Upper limit of the stellar photospheric radius [cm]
# 
MJD,Tstar,Tstar_min,Tstar_max,L,L_min,L_max,r,r_min,r_max
61042.570682870224,3555.5948341219337,3497.271576506362,3618.384476510847,5.139475396642147e+39,4.7643511237214974e+39,5.51709790056802e+39,212525682761083.2,198352484700071.6,226344220546508.47
61043.60508101992,3504.541298811548,3440.847905105067,3567.8467331002353,4.998063720098618e+39,4.6096326156734934e+39,5.3982101581703204e+39,215638905488906.7,200851119147048.8,230721378079684.1
61044.550682870205,3520.507630984329,3464.1442163490915,3577.2044642582946,5.19089966345698e+39,4.82378985956176e+39,5.571102925772426e+39,217776279736356.56,204392633919062.2,231759980684380.0
61049.141932900064,3474.269582684397,3427.6123554485266,3524.3071906232094,5.585486289034078e+39,5.222434746052213e+39,5.95149875787426e+39,231974796751558.1,218697951959945.7,245373595059767.38
61049.56787037011,3441.2409931918814,3388.802442612376,3493.0190509270724,5.333934763802303e+39,4.960853975384578e+39,5.725936988627905e+39,231074852313075.44,217287296518443.2,245770639837070.7
61050.59144676011,3383.347684608701,3327.948768275512,3442.66609748814,5.548429721411636e+39,5.075779219879746e+39,6.017382185114104e+39,243744709747876.1,226235738515650.2,260958162350641.9
61051.57300926,3351.6117143953315,3292.6810632260235,3412.423272828864,5.3579137300888726e+39,4.88797901769023e+39,5.845269855008502e+39,244048244238170.1,226248698091517.44,262434874279463.03
61053.11790509988,3402.1509023054487,3357.8202110439975,3447.124578957359,6.232262302300513e+39,5.818183994213986e+39,6.657571292909097e+39,255554230575750.62,240950636629447.38,270593110407663.75
61055.16403939993,3375.584477200274,3329.820104540785,3423.098784077635,5.862297828248271e+39,5.443568480357091e+39,6.305708131774222e+39,251781437739025.2,236498281831762.56,267657285235526.3
61057.1656366,3376.471490053086,3330.515779280947,3423.6454209847875,5.697713022467839e+39,5.288007935856044e+39,6.114326284572878e+39,247853012221482.4,233126956413462.3,263138306036735.84
61059.11922449991,3370.44755802391,3318.547004412968,3421.592563962585,5.176468295446913e+39,4.7860840261796556e+39,5.582770431425413e+39,237245286014318.38,221717783522721.6,253281005470559.03
61061.113564800005,3390.753071942405,3336.3859780448824,3445.519740304108,4.836954156019662e+39,4.4528296936651955e+39,5.22562660629609e+39,226589492733308.28,211272647114041.7,242543755890843.9
61066.134398099966,3484.724001504189,3384.223837011915,3601.349197362364,3.499791506580057e+39,3.110456876470072e+39,3.909075978149377e+39,182607398073980.88,161428223569478.4,203511593976536.47
61076.16427080007,3456.374224026281,3364.202078064091,3558.834743003669,2.6950066802684188e+39,2.3877780604747396e+39,3.01100358606377e+39,162620804692080.2,144772714337000.53,181249058826389.28
61079.12497689993,3383.9161914701635,3284.3364242387543,3533.8842880465963,2.745290727894477e+39,2.2881068530701175e+39,3.1172905942886443e+39,171487717368473.3,143841797017954.75,193417398862389.12
