MJD,mag,magunc,filter
59036.3883,19.7629,0.1376,ZTF-r
59037.4815,19.8654,0.1484,ZTF-r
59039.4613,19.9669,0.1596,ZTF-r
59042.4666,19.8436,0.1460,ZTF-r
59043.4734,19.9583,0.1121,ZTF-r
59044.7658,19.8830,0.0868,ZTF-r
59045.4877,19.8041,0.1419,ZTF-r
59046.4475,19.8097,0.1425,ZTF-r
59048.4316,19.8769,0.1496,ZTF-r
59049.4514,21.8149,0.3135,ZTF-g
59050.1770,17.7554,0.0926,NEOWISE-W2
59050.1961,17.2984,0.0228,NEOWISE-W1
59051.4007,19.9295,0.1554,ZTF-r
59051.4515,21.5808,0.2903,ZTF-g
59053.4963,19.8490,0.1466,ZTF-r
59054.4861,21.1706,0.2497,ZTF-g
59056.4545,21.3962,0.2720,ZTF-g
59056.4806,19.9113,0.1085,ZTF-r
59057.4965,19.8173,0.1433,ZTF-r
59059.4328,21.8793,0.3198,ZTF-g
59059.4730,19.9649,0.1127,ZTF-r
59061.3676,19.9803,0.1611,ZTF-r
59063.0855,19.8500,0.0846,ZTF-r
59064.3943,19.8733,0.1046,ZTF-r
59065.3691,20.1336,0.1792,ZTF-r
59065.4436,19.7937,0.1408,ZTF-r
59066.9271,19.9546,0.1116,ZTF-r
59068.4065,19.9185,0.1542,ZTF-r
59069.4315,19.7428,0.1356,ZTF-r
59072.4228,20.9923,0.2320,ZTF-g
59072.4970,19.8575,0.1475,ZTF-r
59073.4551,19.7243,0.1337,ZTF-r
59076.4009,19.8512,0.1037,ZTF-r
59078.4030,21.4542,0.2778,ZTF-g
59082.4932,19.8990,0.1075,ZTF-r
59085.3645,21.8947,0.3214,ZTF-g
59087.4334,19.8027,0.1002,ZTF-r
59087.4687,21.3683,0.2693,ZTF-g
59088.3978,19.7397,0.0956,ZTF-r
59089.4563,19.8014,0.1416,ZTF-r
59090.4720,19.8711,0.1053,ZTF-r
59093.3243,18.7029,0.0624,ZTF-i
59093.3950,19.9506,0.1578,ZTF-r
59094.4058,19.8970,0.1518,ZTF-r
59095.4189,19.7941,0.1408,ZTF-r
59095.9170,19.8031,0.1001,ZTF-r
59097.3954,18.8618,0.0707,ZTF-i
59097.8969,19.8283,0.1021,ZTF-r
59099.3571,19.7838,0.1398,ZTF-r
59106.3627,19.6916,0.1305,ZTF-r
59109.3306,21.1780,0.2504,ZTF-g
59109.4024,19.6800,0.0915,ZTF-r
59111.3149,18.6661,0.0607,ZTF-i
59112.3283,21.5097,0.2833,ZTF-g
59113.2874,19.7693,0.1383,ZTF-r
