ra,dec,x_image,y_image,mjd,flux_bkg,local_bkg_flg,flags,fit_ql,deep_flg,det_id,lvf_id,obs_publisher_did,lambda,lambda_width,flux,flux_err
9.7025100,40.7689480,1684.5128173828125,871.7822265625,61034.144526791,0.18639273941516876,True,2097152,4.7393083572387695,False,4,202552101063644,ivo://irsa.ipac/spherex_qr2?2025W52_1A_0636_4/D4,3.134927272796631,0.08986237645149231,7609.45751953125,87.00480651855469
9.7025100,40.7689480,1681.589111328125,756.9974365234375,61036.923957890496,0.19375230371952057,True,2097152,4.328176498413086,False,4,202552201048714,ivo://irsa.ipac/spherex_qr2?2025W52_2A_0487_1/D4,3.221061944961548,0.09344880282878876,7568.373046875,87.63097381591797
9.7025100,40.7689480,1678.887451171875,641.843505859375,61036.925450159,0.1994246542453766,True,2097152,3.984386920928955,False,4,202552201048724,ivo://irsa.ipac/spherex_qr2?2025W52_2A_0487_2/D4,3.307969331741333,0.09407573193311691,7103.642578125,84.747314453125
9.7025100,40.7689480,1676.228271484375,526.7293090820312,61036.926942404505,0.19854602217674255,True,2097152,3.630398750305176,False,4,202552201048734,ivo://irsa.ipac/spherex_qr2?2025W52_2A_0487_3/D4,3.3971078395843506,0.09964102506637573,6778.60009765625,83.53805541992188
9.7025100,40.7689480,1673.5572509765625,411.5620422363281,61036.9284346615,0.1988697201013565,True,2097152,4.402316570281982,False,4,202552201048744,ivo://irsa.ipac/spherex_qr2?2025W52_2A_0487_4/D4,3.4888415336608887,0.09660006314516068,6331.86181640625,80.66136932373047
9.7025100,40.7689480,1670.0181884765625,296.1506652832031,61040.047957833,0.196803480386734,True,4297064517,3.6172597408294678,False,4,202601101043114,ivo://irsa.ipac/spherex_qr2?2026W01_1A_0431_1/D4,3.582517147064209,0.10082926601171494,6836.66162109375,84.87500762939453
9.7025100,40.7689480,1667.447265625,180.8788604736328,61040.0494500665,0.19965066015720367,True,2097152,2.959075927734375,False,4,202601101043124,ivo://irsa.ipac/spherex_qr2?2026W01_1A_0431_2/D4,3.6795711517333984,0.09992086887359619,6368.8125,81.5224380493164
9.7025100,40.7689480,1240.8837890625,2035.34765625,61040.7257790015,0.2064576894044876,True,4297064640,1.0721209049224854,False,4,202601101056414,ivo://irsa.ipac/spherex_qr2?2026W01_1A_0564_1/D4,3.6987950801849365,0.052371956408023834,5709.240234375,233.03778076171875
9.7025100,40.7689480,1664.8126220703125,65.5351333618164,61040.050942335,0.2230420857667923,True,2097152,3.4331979751586914,False,4,202601101043134,ivo://irsa.ipac/spherex_qr2?2026W01_1A_0431_3/D4,3.7791531085968018,0.10709166526794434,6022.08544921875,80.72838592529297
9.7025100,40.7689480,864.9501953125,1961.75,61036.383743886,0.22922348976135254,True,2097152,1.814138412475586,False,5,202552201037935,ivo://irsa.ipac/spherex_qr2?2025W52_2A_0379_3/D5,3.814685106277466,0.035015273839235306,5284.91259765625,151.89797973632812
9.7025100,40.7689480,862.818603515625,1847.081787109375,61036.385236143,0.23613271117210388,True,2097152,1.635435938835144,False,5,202552201037945,ivo://irsa.ipac/spherex_qr2?2025W52_2A_0379_4/D5,3.8482918739318848,0.03552616387605667,5235.80810546875,148.2513427734375
9.7025100,40.7689480,860.4447631835938,1732.6248779296875,61037.267602867505,0.2476661056280136,True,2097152,1.8217408657073975,False,5,202552201055515,ivo://irsa.ipac/spherex_qr2?2025W52_2A_0555_1/D5,3.8814613819122314,0.035480428487062454,5074.41162109375,146.34695434570312
9.7025100,40.7689480,858.3333740234375,1617.7623291015625,61037.269095101496,0.2371392399072647,True,2097152,1.2879849672317505,False,5,202552201055525,ivo://irsa.ipac/spherex_qr2?2025W52_2A_0555_2/D5,3.9152538776397705,0.036007437855005264,4977.13916015625,146.16233825683594
9.7025100,40.7689480,856.17431640625,1502.8548583984375,61037.27058737,0.22907914221286774,True,2097152,1.4339499473571777,False,5,202552201055535,ivo://irsa.ipac/spherex_qr2?2025W52_2A_0555_3/D5,3.9494335651397705,0.0363454669713974,5257.2666015625,148.2173614501953
9.7025100,40.7689480,853.3533325195312,1388.1055908203125,61039.843820934504,0.26659876108169556,True,2097152,1.8919764757156372,False,5,202601101039215,ivo://irsa.ipac/spherex_qr2?2026W01_1A_0392_1/D5,3.984102964401245,0.03649948537349701,5085.4853515625,145.57383728027344
